company_name,job_title,location,job_posting_url,description,skills_required,job_id,confidence_score
Tenazx Inc,Data Analyst,"Queens, NY",https://www.linkedin.com/jobs/view/3813645405/?trk=jobs_biz_prem_srch,"job title: data analystduration: contractlocation: queens-ny (day 1 onsite)-- need only locals 

role descriptionthis is a contract role for a data analyst. as a data analyst, you will be responsible for collecting, analyzing, & interpreting complex data sets. you will work with various departments to identify patterns, trends, & insights that can be used to improve business operations. this is an on-site role located in queens, ny.
qualificationsanalytical skills, including the ability to collect, organize, analyze & disseminate significant amounts of information with attention to detail & accuracydata analytics & statistics skills, including experience with statistical analysis software & data visualization toolsexcellent communication skills, including the ability to explain technical concepts to non-technical stakeholders & present findings to both technical & non-technical audiencesdata modeling skills, including the ability to develop & maintain complex data models & schemasa bachelor's degree in computer science, mathematics, statistics or related fieldexperience with cybersecurity, blockchain, or financial services industries is a plusexperience with sql, python, or r programming languages is preferred information technology","Analytical skills, Data analytics, Statistics, Data visualization, Communication, Data modeling, SQL, Python, R programming languages, Attention to detail",3813645405,0.8426
Compunnel Inc.,M365 Power-Platform or SharePoint Online Developer,"Boston, MA",https://www.linkedin.com/jobs/view/3881984061/?trk=jobs_biz_prem_srch,"title m365 power-platform/sharepoint online developerduration 6-12 monthslocation: boston, ma job requirements:· six (6) plus years of solid hands-on development experience working within microsoft 365 sharepoint online platform as well as sharepoint on-premises servers (2013, 2019) & cloud development platforms including power platform.· minimum three (3) years of solid hands-on experience in application development paradigm in the power platform (canvas, portals, model-driven, dataverse) with data integration in platforms like sharepoint online, salesforce, servicenow, adobe esign, formstack etc.· in-depth understanding of the microsoft power platform (power apps, power automate, power bi) integration with sharepoint online, dataverse & other third-party platforms using connectors/apis.· experienced working with agile methodology. should be a self-starter who can quickly acclimate to a dynamic & fast paced development environment.· experienced developing enterprise-wide solutions that span across integration of microsoft 365 services (e.g., sharepoint, power platform, entra id, teams, graph api, onedrive, ms forms etc.) in government (gcc) tenant.· should possess full understanding of software development life cycle using both agile & waterfall methodologies.· candidate should possess extensive hands-on knowledge of power platform/sharepoint online specific languages like powerfx, spfx & strong programming skills using other languages like javascript, html, json, powershell, .net/c#, asp.net.· robust hands-on experience in powershell scripting & pnp provisioning for sharepoint online & m365 services.· experienced with sharepoint’s application services framework including implementation & configuration of both on-premises & cloud hosted sites.· hands-on development experience with utilization of sharepoint components like sharepoint lists/libraries automation, custom spfx & modern/classic webparts, site templates, site themes, microsoft search, taxonomy, sharepoint search service, user profile service, & other service applications, rest apis, infopath forms.· robust power platform problem solving skills & ability to debug, troubleshoot & deploy existing power platform using pipelines & sharepoint applications.· migration knowledge of sharepoint content using tools like sharegate, microsoft migration tool is a plus.· ability to provide technical feedback/ideas in a clear & concise manner to business & it partners.· demonstrate great communication skills & be comfortable to handle business requirements & discovery processes. this role needs to present solutions/apps to senior management occasionally. 
responsibilities:· participate in all aspects of software development lifecycle which includes requirement gathering, estimating, technical design, implementation, documentation, testing, deployment, & support of application developed for various business partners including rmv, highway, aeronautics, rail & transit, shared services etc.· demonstrate troubleshooting skills in customization of sharepoint modern/classic pages, custom lists/webparts using sharepoint designer or vs code tools.· this position will involve the developer to engage with business stakeholders to discover requirements, provide solutions proposals, as well as educate & assist business partners with selection of platform & technology for business needs.· collaborate with other members of the development & scrum team to release quality solutions as well as develop technical design documentations & runbooks of applications for end user support.· should possess clear knowledge of power platform environments, power platform sdlc process, & solutions deployment process from development to production environments using pipelines.· participate in supporting servicenow tickets related to power platform or m365 services as needed.· experience implementing security & development best practices using entra id & m365 services.· ability to multi-task different projects & support efforts, while effectively supporting competing priorities.· ability to prioritize & track progress on product backlog items/tasks & deliverables using azure dev ops, git or team foundation server for defined timelines & scope of work.· superior communication skills that require presentations & demo of applications with business partners & senior it team members. · be a team player & passionate to learn & adapt to new technological challenges & business demands. · self-motivated & organized with the ability to work with minimal supervision.  desired qualifications/certifications:· bachelor's degree in computer science, information systems, or related discipline.· m365 teamwork administrator associate or power platform fundamentals certified.· sharepoint online/on-premises applications development certified.· experience working with azure, infopath, ssrs, salesforce, sharepoint designer, servicenow a plus. engineering, information technology","Microsoft 365, SharePoint Online, Power Platform, Power Apps, Power Automate, Power BI, PowerFX, SPFX, JavaScript, HTML",3881984061,0.8262
Saxon AI,Data Architect,"San Francisco, CA",https://www.linkedin.com/jobs/view/3245063922/?trk=jobs_biz_prem_srch,"request: data architectlocation: san francisco, ca hybridduration: contract job description:aws services like ec2, s3, lambda, glue, athena, kinesis datastreams, kinesis firehose, etcetl & data warehousing concepts with hands-on experience sql, redshift, python , spark & jsonapi-based integration & security cloud computing & big data concepts thanks,sunil.k@saxonglobal.com engineering, information technology","AWS services, Data Architecture, SQL, Redshift, Python, Spark, JSON, ETL, Data Warehousing, Cloud Computing",3245063922,0.8187
Stanley David and Associates,AS400 Developer,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/3860823414/?trk=jobs_biz_prem_srch,"required skills:minimum 6 to 8 years experience in as400 technologyexperience with mapics/infor xa applicationgood knowledge of db2, rpg, rpgle, clle & free format (rpg free)experience of using ifs (file sharing) & ftp in as400good oral & written communication skills (english/spanish both)have prior exposure of production support projects & be able to coordinate with multiple teams
 engineering, information technology","AS400, DB2, RPG, RPgle, CLLE, Free Format, IFS, FTP, Communication, Project Coordination",3860823414,0.8166
Siri InfoSolutions Inc,Webmethods Developer,"Cleveland, OH",https://www.linkedin.com/jobs/view/3863028624/?trk=jobs_biz_prem_srch,"job title : webmethods developerlocation : cleveland, oh
details :must have technical skillswebmethods development experience using softwareag integration server, designer, universal messaging, mws, tn.atleast 1 rdbms system (oracle or sql server).familiarity with soapui, kibana.ability to work with various non-technical / technical teams to understand & document integration specific requirements.create high level/ detailed design documents specific to webmethods portion of work.ability to present designs in technical meetings.good to have apigee/java/kafka knowledge is a plus.knowledge on wm integration with mainframe/salesforce/google cloud is a plus. engineering, information technology","WebMethods development, SoftwareAG Integration Server, Designer, Universal Messaging, MWS, TN, RDBMS, Oracle, SQL Server, SoapUI",3863028624,0.7967
"iBrain Technologies, Inc",Sr Software Engineer,United States,https://www.linkedin.com/jobs/view/3879283271/?trk=jobs_biz_prem_srch,"company descriptionibrain technologies is an experienced it consulting & service delivery company headquartered in st louis mo. we partner with our clients who seek strategic talent & to assist those candidates looking for their next career opportunity. with over 17 years’ experience in the field, we approach each partnership with a commitment to our clients to identify the right fit & to deliver world class candidate experience throughout the recruiting lifecycle. we look forward to working with you.
role descriptionthis is a full-time remote role for a senior software engineer at ibrain technologies. as a senior software engineer, you will be responsible for back-end web development, software development, programming, & object-oriented programming (oop). you will work on developing & maintaining robust & scalable software solutions, collaborating with cross-functional teams, & implementing best practices in software engineering.
qualificationsstrong background in computer science & software developmentstrong experience in back-end web development & programmingexperience in frontend neededproficiency in object-oriented programming (oop)knowledge of software development best practices & methodologiesexcellent problem-solving & analytical skillsability to work independently & in a teamexperience with agile development methodologies is a plusgood communication & interpersonal skillsability to work remotely & collaborate effectively with remote teamsbachelor's or master's degree in computer science or related field
sudheer@ibrain-tech.com (+1 614 965 6876)  engineering, information technology","Computer Science, Object-Oriented Programming, Software Development, Back-end Web Development, Programming, Problem-Solving, Analytical Skills, Communication, Interpersonal Skills, Agile Development Methodologies",3879283271,0.7922
"Econtenti, Inc",Azure Data Engineer,"Seattle, WA",https://www.linkedin.com/jobs/view/3884431580/?trk=jobs_biz_prem_srch,"company descriptionecontenti, inc is a leading provider of technology, business consulting, & cloud computing services. specializing in developing applications on the force.com platform, econtenti serves businesses globally from its state-of-the-art development center.
role descriptionthis is a full-time on-site role for an azure data engineer located in seattle, wa. the azure data engineer will be responsible for day-to-day tasks related to data engineering, data modeling, etl (extract transform load), data warehousing, & data analytics. we are not open to c2c, we are open to candidates who are looking for h1bt & been laid off. 
qualificationsdata engineering, data modeling, & etl (extract transform load) skillsmonitor & support data pipelines & etl workflowsdata warehousing & data analytics skillsexperience with azure cloud services & toolsstrong problem-solving & analytical skillsproficiency in sql & other programming languagesexperience with data integration & data migrationexcellent communication & collaboration skillsbachelor's degree in computer science, engineering, or related field
enterprise required skillspython, big data, data warehouse, etl, development, azure, azure data factory, azure databricks, azure sql server, snowflake, data pipelines
top skills details1. 3+ years with etl development with azure stack (azure data factory, azure databricks, azure blob, azure sql).  2. 3+ years with spark, sql, & python. this will show up with working with large sets of data in an enterprise environment.  3. looking for proactive individuals who have completed projects from start to completion & have an ability to work independently & once ramped up, require minimal handholding.

 information technology","Data Engineering, Data Modeling, ETL, SQL, Python, Problem-Solving, Analytical Skills, Communication, Collaboration, Azure",3884431580,0.7837
TekisHub Consulting Services ,backend Java developer,"Austin, TX",https://www.linkedin.com/jobs/view/3795134838/?trk=jobs_biz_prem_srch,"job description: java backend with react strong coder
java/j2ee with focus on java collection & concurrency apis & functional programming  good knowledge of data-structures & algorithms hands on experience building & using rest apis working experience on spring framework experience with relational databases & nosql databases experience building highly performing & scalable backend components strong problem solving skills good communication skills ability to work independently with minimal supervision
﻿?thanks & regardssanjay sharma - sr talent acquisition specialistemail id: sanjay.s@tekishub.com | phone: (+1) 302-488-0906 - ext 521 tekishub® consulting services pvt ltdderive | drive | deliverusa |india |canada |singapore |uae engineering, information technology","Java, J2EE, Java Collection, Concurrency APIs, Functional Programming, Data Structures, Algorithms, Rest APIs, Spring Framework, Problem Solving",3795134838,0.7822
Redifcard Technologies LLC,Cloud / .NET Developer,"Bloomington, MN",https://www.linkedin.com/jobs/view/3844032378/?trk=jobs_biz_prem_srch,"position: cloud / .net developer location: 100% remoteduration: 3 months
work auth: us citizen or greencard only

skills required: 1. azure (a lot of azure experience)2. (azure logic apps or azure service bus or azure data factory or azure event grid) must be recent3. .net/c#. must have good backend experience with 4. snowflake 5. kafka6. biztalk (must have recent experience from year 2020, 2021, 2022, 2023, or 2023)7. hl7  (must have recent experience)8. healthcare (must have recent experience)


please send your resumes to kalyan@redifcard.com  engineering, information technology","Azure, .Net/C#, Snowflake, Kafka, Biztalk, HL7, Healthcare, Problem-solving, Communication, Adaptability",3844032378,0.7742
NLB Services,Machine Learning Engineer,"Dallas, TX",https://www.linkedin.com/jobs/view/3871631334/?trk=jobs_biz_prem_srch,"job title: python ai/ mltype: fulltimelocation: dallas, tx python/ai-ml:hands on experience with python, streamlit, fastapi (minimum 2+ max 6 years)hands on experience in developing neural networks using tensorflow or pytorch frameworkhands on experience with nlp (nltk, spacy, bert, sbert models)hands on experience with vector database (milvus, faiss, pinecone, vespa, chroma etc.,)good understanding on llms, gen ai, langchain, transformersexperience working & deploying in cloud environment will be added advantage (google cloud, aws, azure)willing to learn & adapt to the advancements in the gen ai technology & work on pocs engineering, information technology","Python, Streamlit, FastAPI, TensorFlow, PyTorch, NLP, NLTK, Spacy, BERT, SBERT",3871631334,0.7043
