QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,53.6771391,False,"array,hash-table",algorithms
888,Fair Candy Swap,fair-candy-swap,Easy,62.17423929,False,"array,hash-table,binary-search,sorting",algorithms
2363,Merge Similar Items,merge-similar-items,Easy,75.81152751,False,"array,hash-table,sorting,ordered-set",algorithms
892,Surface Area of 3D Shapes,surface-area-of-3d-shapes,Easy,66.7003617,False,"array,math,geometry,matrix",algorithms
2357,Make Array Zero by Subtracting Equal Amounts,make-array-zero-by-subtracting-equal-amounts,Easy,72.50921712,False,"array,hash-table,greedy,sorting,heap-priority-queue,simulation",algorithms
2356,Number of Unique Subjects Taught by Each Teacher,number-of-unique-subjects-taught-by-each-teacher,Easy,88.72017702,False,database,database
896,Monotonic Array,monotonic-array,Easy,61.35128862,False,array,algorithms
897,Increasing Order Search Tree,increasing-order-search-tree,Easy,78.42728332,False,"stack,tree,depth-first-search,binary-search-tree,binary-tree",algorithms
2351,First Letter to Appear Twice,first-letter-to-appear-twice,Easy,73.71333921,False,"hash-table,string,bit-manipulation,counting",algorithms
2347,Best Poker Hand,best-poker-hand,Easy,60.8202876,False,"array,hash-table,counting",algorithms
905,Sort Array By Parity,sort-array-by-parity,Easy,76.24126264,False,"array,two-pointers,sorting",algorithms
2341,Maximum Number of Pairs in Array,maximum-number-of-pairs-in-array,Easy,75.41668833,False,"array,hash-table,counting",algorithms
2367,Number of Arithmetic Triplets,number-of-arithmetic-triplets,Easy,84.48966874,False,"array,hash-table,two-pointers,enumeration",algorithms
908,Smallest Range I,smallest-range-i,Easy,70.63417752,False,"array,math",algorithms
2331,Evaluate Boolean Binary Tree,evaluate-boolean-binary-tree,Easy,82.7612858,False,"tree,depth-first-search,binary-tree",algorithms
914,X of a Kind in a Deck of Cards,x-of-a-kind-in-a-deck-of-cards,Easy,29.9073065,False,"array,hash-table,math,counting,number-theory",algorithms
917,Reverse Only Letters,reverse-only-letters,Easy,65.45472347,False,"two-pointers,string",algorithms
2325,Decode the Message,decode-the-message,Easy,84.73747368,False,"hash-table,string",algorithms
2319,Check if Matrix Is X-Matrix,check-if-matrix-is-x-matrix,Easy,65.29918378,False,"array,matrix",algorithms
