company_name,job_title,location,job_posting_url,description,skills_required,job_id,confidence_score
Avesta Computer Services,Senior Developer – React Native,"Austin, Texas Metropolitan Area",https://www.linkedin.com/jobs/view/3884431576/?trk=jobs_biz_prem_srch,"job title: senior developer – react nativelocation: austin, texastype: fulltimecontract to hire option available for this roletechnical skills:5 + years of professional experience developing mobile applications with react native for b2cstrong understanding of javascript (es6+) & react fundamentals.proficiency in react native core concepts like components, props, state, & lifecycle methods.experience with asynchronous reactive programming & api calls.experience with integrating third-party libraries & apis into react native applications.experience with styling libraries like flexbox or styled-components.experience with redux or equivalent state management solution.working knowledge of native development concepts for ios & android would be a huge advantage.exposure to user experience related conceptsexcellent problem-solving & debugging skills.strong communication & collaboration skillsrole & responsibilities:design, develop, & maintain high-quality, performant react native applications.collaborate with designers & back-end developers to translate ui/ux mockups & prototypes into functional mobile app experiences.write clean, maintainable, & reusable javascript code.effectively utilize react native features & libraries to build native-like mobile apps.diagnose & troubleshoot bugs to ensure a smooth user experience.write unit & integration tests to ensure code quality.desired skills:experience with ci/cd pipelinesexposure to micro front end patternsexperience with testing frameworks like jest or detox.experience with ux & accessibility best practices. information technology","JavaScript, React, React Native, Components, Props, State, Lifecycle Methods, Asynchronous Programming, API Calls, Third-Party Libraries",3884431576,1.0413
Insight Global,Flight Software Engineer,"Webster, TX",https://www.linkedin.com/jobs/view/3803052628/?trk=jobs_biz_prem_srch,"must haves:10-15 years of experience with c++ design & development in an embedded software environmentexperience with full life cycle software development (research, gather requirements, write code, & test.)experience working with c++ on a linux osexperience with project work (aka designing from scratch, not just maintaining/upgrading) plusses:experience with spaceflight (manned or unmanned) or other safety critical systems like airplanes, helicopters, rockets, submarines, military tanks, or other vehicles.experience with microcontroller programming in csoftware design/development experience in a regulated environment (spacecraft, aerospace, high fidelity or other heavily regulated environments like healthcare.)bachelor’s degree in computer science, engineering, or a related field day to day:insight global is looking to hire a dynamic flight software engineer for a commercial space company located in webster, tx. this individual will mostly be responsible for designing, developing, & testing functional & dependable embedded flight software for one of the first commercial space stations. the flight software engineer will collaborate with hardware engineers on board-level firmware & with avionics engineers to integrate hardware simulation into real-time software (coding to make hardware move as it was intended). engineering","C++, Embedded software, Linux, Full life cycle software development, Project management, Microcontroller programming, Software design, Regulated environment, Bachelor's degree in Computer Science or Engineering, Spaceflight experience",3803052628,1.0406
Prepto,Frontend Engineer,"Santa Clara, CA",https://www.linkedin.com/jobs/view/3841963841/?trk=jobs_biz_prem_srch,"the ideal candidate will be responsible for developing several key features in the prepto's application. there is a lot of learning & fun in this experience.
key responsibilities:development with react & redux: develop & implement responsive ui components using react, redux, & javascript, adhering to best coding practices.collaboration & version control: work closely with cross-functional teams, ensuring seamless integration of frontend & backend services. utilize git for version control & collaboration.continuous learning: engage in continuous learning to enhance skills & apply software engineering design principles.
preferred qualifications:technical proficiency: strong skills in react, redux, javascript, & familiarity with at least one programming language. knowledge of databases & git is essential.educational background: currently pursuing or completed an ms degree in computer science or a related field. a strong understanding of software engineering design principles is expected.design sensitivity: an eye for good design, with an understanding of user experience best practices.
benefits:comprehensive benefits: free lunch, snacks, & access to weekly happy hours & parties.professional development: opportunities for referrals to top tech companies like amazon, google, meta, snap, & uber for those interested in exploring further career opportunities.learning opportunities: weekly sessions with engineers from faang companies, providing valuable industry insights, tips, & a platform for q&a.
*this internship emphasizes learning, growth, & building your resume with the help of mentors. we are a small team, so you will directly be working with industry veterans in software engineering. engineering, information technology","React, Redux, JavaScript, Git, Version Control, Collaboration, Soft Design Principles, User Experience, Software Engineering Design Principles, Programming Language",3841963841,1.0385
Redifcard Technologies LLC,Cloud / .NET Developer,"Bloomington, MN",https://www.linkedin.com/jobs/view/3844032378/?trk=jobs_biz_prem_srch,"position: cloud / .net developer location: 100% remoteduration: 3 months
work auth: us citizen or greencard only

skills required: 1. azure (a lot of azure experience)2. (azure logic apps or azure service bus or azure data factory or azure event grid) must be recent3. .net/c#. must have good backend experience with 4. snowflake 5. kafka6. biztalk (must have recent experience from year 2020, 2021, 2022, 2023, or 2023)7. hl7  (must have recent experience)8. healthcare (must have recent experience)


please send your resumes to kalyan@redifcard.com  engineering, information technology","Azure, .Net/C#, Snowflake, Kafka, BizTalk, HL7, Healthcare, Good backend experience, Recent experience, Teamwork",3844032378,1.0242
SilverSpace Technologies Inc,Data Engineer/ETL,"Hartford, CT",https://www.linkedin.com/jobs/view/3800989742/?trk=jobs_biz_prem_srch,"responsibilities:develop new features, fix bugs, writing & maintaining code in react, javascript, typescript, & node.js using data & analytics to improve the product & customer experienceaccountable for code quality, including writing unit & integration testsworking collaboratively with a team & refactor php & javascript code for both the frontend & backend of a b2b saas product. you will work with another developer via ping-pong programming to help you get up to speed on the code & be part of our initiative for test driven development.collaborate with the it team to implement, test, & continuously deliver new features.create & maintain endpoints.contribute to all phases of the software development lifecycle.design & develop applications in react, ensuring scalability, repeatability, support, etc.develop complex, intelligent, & secure software applications with modern technologies for implementation on both client & servicer side.build frontend uis that are simple & powerful.create code in full stack capacity – involving several languages.adhere to best practices, technical standards, etc. through testing & team-wide support.identify inefficiencies & analyze root cause & solutions.stay up to date on the newest technologies & act as sme for upper management to propose & prioritize upgrades.
requirements:0 - 3 + years of full stack software development experience bs in computer science or relevant field preferredexperience with react, html, css, typescript, api, javascript, git, mysql, node, apache, docker, aws, & other technologies & languages.experience creating/maintaining endpoints.strong background building authenticated apis.experience/knowledge of aws lambda functionality.ability to accurately estimate project scope & tasks, self-starter capable of taking on tasks without explicit direction
 information technology","data analysis, testing, collaboration, full stack development, React, JavaScript, TypeScript, Node.js, problem-solving, technical leadership.",3800989742,1.0130
Siri InfoSolutions Inc,Webmethods Developer,"Cleveland, OH",https://www.linkedin.com/jobs/view/3863028624/?trk=jobs_biz_prem_srch,"job title : webmethods developerlocation : cleveland, oh
details :must have technical skillswebmethods development experience using softwareag integration server, designer, universal messaging, mws, tn.atleast 1 rdbms system (oracle or sql server).familiarity with soapui, kibana.ability to work with various non-technical / technical teams to understand & document integration specific requirements.create high level/ detailed design documents specific to webmethods portion of work.ability to present designs in technical meetings.good to have apigee/java/kafka knowledge is a plus.knowledge on wm integration with mainframe/salesforce/google cloud is a plus. engineering, information technology","WebMethods development, SoftwareAG Integration Server, Designer, Universal Messaging, MWS, TN, RDBMS, Oracle, SQL Server, SoapUI",3863028624,1.0109
TRG,Software Engineer,"Westlake, OH",https://www.linkedin.com/jobs/view/3827945924/?trk=jobs_biz_prem_srch,"*this position is fully onsite & requires speaking fluent english as client communication is necessary. *software engineer 1, under the guidance of the manager of application development & senior software engineers, will develop code for both external & internal customer projects. they will adhere to established security & coding standards, participating in the implementation, testing, & deployment of projects. key responsibilities include coding tasks for mobile, desktop, & web applications, maintaining existing software systems, learning, & adopting new technologies, creating unit & regression tests, & contributing to code reviews.
essential functions:utilize development tools such as vb.net, c#, .net core, mvc, git, asp.net, sql server, ssis, ssrs, html, css, json, rest api, javascript, jquery, bootstrap.code basic tasks in mobile, desktop, & web software applications.investigate, learn, & develop skills in new technologies.maintain existing software systems by identifying & correcting defects.create unit & regression tests.follow the team’s software development process & perform code reviews.communicate effectively with team members, senior engineers, business analysts, & non-team members.
initiative/independence:eager to learn & attend internal & external training sessions.demonstrate initiative by identifying & communicating problems & risks.recognize the risk of changes & tailor actions accordingly.
qualifications:associate degree in computer science required.bachelor’s degree preferred.minimum of 1 year of .net framework/vb or c# development experience.self-starter comfortable working across all levels of an organization, especially external clients.ability to pass a background check.
performance requirements:maintain regular & reliable attendance.operate a computer & other position-related technologies.work & consult with colleagues, outside stakeholders, & individually.work flexible hours as needed.clearly & confidentially communicate with truwest employees & other stakeholders.adhere to all truwest values at all times.
physical requirements:remain in a stationary position 75% of the time.access work locations.stooping, standing, walking, bending, & staying upright to perform work.visually read written & digital information.receive detailed information through oral communication. engineering, information technology","Fluent English, Initiative, Independence, Self-starter, Problem-solving, Communication, Teamwork, Adaptability, Learning, Programming skills (VB.NET",3827945924,0.9869
"iBrain Technologies, Inc",Sr Software Engineer,United States,https://www.linkedin.com/jobs/view/3879283271/?trk=jobs_biz_prem_srch,"company descriptionibrain technologies is an experienced it consulting & service delivery company headquartered in st louis mo. we partner with our clients who seek strategic talent & to assist those candidates looking for their next career opportunity. with over 17 years’ experience in the field, we approach each partnership with a commitment to our clients to identify the right fit & to deliver world class candidate experience throughout the recruiting lifecycle. we look forward to working with you.
role descriptionthis is a full-time remote role for a senior software engineer at ibrain technologies. as a senior software engineer, you will be responsible for back-end web development, software development, programming, & object-oriented programming (oop). you will work on developing & maintaining robust & scalable software solutions, collaborating with cross-functional teams, & implementing best practices in software engineering.
qualificationsstrong background in computer science & software developmentstrong experience in back-end web development & programmingexperience in frontend neededproficiency in object-oriented programming (oop)knowledge of software development best practices & methodologiesexcellent problem-solving & analytical skillsability to work independently & in a teamexperience with agile development methodologies is a plusgood communication & interpersonal skillsability to work remotely & collaborate effectively with remote teamsbachelor's or master's degree in computer science or related field
sudheer@ibrain-tech.com (+1 614 965 6876)  engineering, information technology","computer science, software development, back-end web development, programming, object-oriented programming, problem-solving, analytical skills, agile development methodologies, communication, teamwork",3879283271,0.9666
"Infotech Spectrum Inc,",SRE/DevOps Support Engineer (W2),"Chicago, IL",https://www.linkedin.com/jobs/view/3884431437/?trk=jobs_biz_prem_srch,"position: sre- devops support role location: chicago, il (hybrid – 3 days onsite, i.e., mtw)
note:job summary:application support candidate. less devopsmonitoring tools- appdynamics, dynatrace, datadog, grafanageneos exp is preferred.intermediate sql knowledge/experiencescripting- bash/shell
job description:proficient in devops engineering skills as well as multiple design techniquesworking proficiency in devops engineering development toolset to design, develop, test, deploy, maintain & improve softwarestrong understanding of agile methodologies with ability to work in at least one of the common frameworksstrong understanding of techniques such as continuous integration, continuous delivery, test driven development, cloud development, application resiliency & securityproficiency in one or more general purpose programming languagesworking proficiency in a portion of software engineering disciplines & demonstrates understanding of overall software skills including business analysis, development, testing, deployment, maintenance, & improvement of software. required skills (technical expertise of 4+ years the below areas, overall it experience of 6+ years):proficiency in java / jvm based system design & implementationinfrastructure knowledge required including unix, windows, networking, & scripting (e.g., perl / python)experience with orchestration tools like jenkins ci/cd, or julesexperience following source control best practices: git/bitbucketexperience with database development (mysql / oracle)understanding of architecture & design across distributed systems engineering, information technology","DevOps, Agile, Scripting (Bash/Shell), Java, JVM, Unix, Windows, Networking, Git, Bitbucket",3884431437,0.9090
NLB Services,Machine Learning Engineer,"Dallas, TX",https://www.linkedin.com/jobs/view/3871631334/?trk=jobs_biz_prem_srch,"job title: python ai/ mltype: fulltimelocation: dallas, tx python/ai-ml:hands on experience with python, streamlit, fastapi (minimum 2+ max 6 years)hands on experience in developing neural networks using tensorflow or pytorch frameworkhands on experience with nlp (nltk, spacy, bert, sbert models)hands on experience with vector database (milvus, faiss, pinecone, vespa, chroma etc.,)good understanding on llms, gen ai, langchain, transformersexperience working & deploying in cloud environment will be added advantage (google cloud, aws, azure)willing to learn & adapt to the advancements in the gen ai technology & work on pocs engineering, information technology","Python, Streamlit, FastAPI, Neural Networks, TensorFlow, PyTorch, NLP, NLTK, Spacy, BERT",3871631334,0.8829
